text,label
"You should be deeply ashamed to even show your face in public looking like that",harassment
"Your presence makes every single room significantly worse the moment you walk in",harassment
"I genuinely cannot stand the sight or the sound of you and never want to again",harassment
"You are the embodiment of everything wrong with your entire pathetic generation",harassment
"The kindest thing you could do for everyone around you is to never speak again",harassment
"You are a burden on every single person around you and they are too polite to say it",harassment
"I do not understand how you can even look yourself in the mirror every single morning",harassment
"You are genuinely one of the most deeply unpleasant people I have ever encountered",harassment
"Your so-called personality is repulsive and off-putting to every person who meets you",harassment
"People only spend time with you out of pity and obligation, never actual friendship",harassment
"You must have had a truly terrible upbringing to turn out this hopelessly awful",harassment
"Everything about you screams desperate, pathetic, and attention-seeking to everyone",harassment
"I am deeply embarrassed to even know someone as lame and worthless as you are",harassment
"Your sense of humor is just as terrible and off-putting as everything else about you",harassment
"You have literally never had a single original thought in your entire miserable life",harassment
"The world would be a genuinely and measurably better place without your presence in it",harassment
"You are the textbook definition of a complete, total, and utter failure as a human",harassment
"I have never in my life met anyone who contributes so little and takes so very much",harassment
"You are too stupid and too ugly for any reasonable person to ever care about you",harassment
"Your very existence is a constant inconvenience to every single person who knows you",harassment
"If brains were even remotely valuable you still would not be worth a single penny",harassment
"You are probably the single most irrelevant person I have ever had the displeasure of meeting",harassment
"Everything you do is completely wrong and everyone around you is just too kind to say so",harassment
"I genuinely and deeply pity you because you clearly have absolutely nothing going for you",harassment
"You are exactly the kind of person that decent people warn their friends to avoid completely",harassment
"Nobody wants to hear a single word of what you have to say so just stop talking",harassment
"You are so deeply and genuinely annoying that people count the seconds until you leave",harassment
"You should really and truly reconsider every single life decision you have ever made",harassment
"The secondhand cringe you cause is genuinely physically painful for everyone present",harassment
"You are deeply, profoundly, and irreversibly disappointing as a human being to everyone",harassment
"I do not know who ever told you that you were smart or capable, but they absolutely lied",harassment
"Your fashion sense is somehow even more terrible and off-putting than your actual personality",harassment
"You are genuinely the absolute worst and every single person around you already knows it",harassment
"No amount of effort will ever make you even remotely likeable or worthwhile to anyone",harassment
"I feel genuinely sorry for anyone who has to interact with you on any kind of regular basis",harassment
"I am going to make your life at school absolutely miserable starting right now",cyberbullying
"Tell everyone what I told you and see exactly what I do to you in response",cyberbullying
"You better watch out because I know where you live and I will find you",cyberbullying
"I am going to send those pictures to everyone unless you do exactly what I say",cyberbullying
"You are not invited and you never will be, so just get out of here now",cyberbullying
"Everyone in school hates you and we have all agreed together to completely ignore you",cyberbullying
"Do what I say right now or I will tell everyone your most embarrassing secret",cyberbullying
"You are going to deeply regret crossing me, I absolutely promise you that much",cyberbullying
"I will make sure you lose every single one of your friends if you do not listen to me",cyberbullying
"We are going to exclude you from absolutely everything starting from today onwards",cyberbullying
"Do not even think about coming to the party or there will be serious consequences",cyberbullying
"I have screenshots of your private messages and I will share them with everyone",cyberbullying
"You are going to have a terrible time at this school if you do not cooperate with me",cyberbullying
"I will spread so many rumors about you that no one will ever want to be your friend",cyberbullying
"You better delete that post immediately or face very serious consequences from me",cyberbullying
"Give me your lunch money or I will tell everyone about your most embarrassing moment",cyberbullying
"Everyone has agreed that you are not cool enough to hang out with our group anymore",cyberbullying
"I will make absolutely every single day at this school a total nightmare for you",cyberbullying
"You think you are better than us? You are going to pay dearly for that attitude",cyberbullying
"We have a whole group chat dedicated specifically to talking about how much we hate you",cyberbullying
"If you do not give me the answers I will make sure everyone knows all your secrets",cyberbullying
"You are banned from our lunch table and if you try to sit here you will regret it",cyberbullying
"I will tell the teacher you cheated unless you do all of my homework for me",cyberbullying
"You better not show up to the event or we will publicly humiliate you in front of everyone",cyberbullying
"I know things about you that could completely and permanently ruin your reputation",cyberbullying
"Give me your account password right now or I will hack it myself anyway",cyberbullying
"You are going to be completely alone forever because I will make sure nobody likes you",cyberbullying
"Stop talking to him right now or we will make your life extremely difficult from now on",cyberbullying
"I am going to screenshot this entire conversation and send it to everyone we know",cyberbullying
"You cannot sit with us and if you try everyone here will laugh at you openly",cyberbullying
"Do what I say or I am posting all of your photos online for absolutely everyone to see",cyberbullying
"We have decided as a group that you are not allowed in our friend group anymore",cyberbullying
"You better not tell anyone about this conversation or you will regret it very much",cyberbullying
"I will follow you home after school and you will not enjoy what happens next",cyberbullying
"Everyone has agreed to pretend you simply do not exist starting from today",cyberbullying
"You think you can report me to a teacher? You have no idea what I am capable of doing",cyberbullying
"I will get all my friends to mass report all your accounts and get you permanently banned",cyberbullying
"Do what I tell you or your crush will find out exactly what you have been saying about them",cyberbullying
"We are all going to vote you off the group project and make sure you fail completely",cyberbullying
"You better apologize publicly or I will humiliate you in front of the entire school",cyberbullying
"If you do not follow me back I am going to post all your most embarrassing photos",cyberbullying
"Your social life is completely over unless you listen to exactly what I tell you to do",cyberbullying
"I am going to convince everyone that you said things you never actually said",cyberbullying
"Do not even think about telling a teacher because that will only make everything much worse",cyberbullying
"We are organizing everyone to mass leave negative reviews on your business page online",cyberbullying
"You have exactly 24 hours to do what I want or all your private information gets posted",cyberbullying
"I will keep messaging you every single day until you crack and finally do what I say",cyberbullying
"Your entire reputation at this school is in my hands so you better cooperate with me",cyberbullying
"Everyone already knows what you did and we are all talking about it constantly",cyberbullying
"I can destroy everything you care about and I absolutely will if you do not listen to me",cyberbullying
